SPEEDELEC  Booster; 35.0; 10900.0; false; 13200; green; 1279
FOLDING BIKE  Dahon; 26.0; 6; 16800.0; false; yellow; 229
FOLDING BIKE  Formula; 20.0; 6; 8800.0; false; grey; 729
E-BIKE  ElectrO; 40.0; 26700.0; false; 17000; grenadine; 2729
SPEEDELEC  Kugoo; 25.0; 13600.0; true; 10800; dark gray; 1125
SPEEDELEC  Tesla; 25.0; 18800.0; true; 12800; blue; 1019
FOLDING BIKE  BMW; 14.0; 1; 13800.0; true; orange; 1655
SPEEDELEC  OIO; 45.0; 16900.0; false; 4700; violet; 945
FOLDING BIKE  Benetti; 24.0; 3; 9700.0; true; white; 1349
E-BIKE  Mercedes; 25.0; 26000.0; false; 30000; orange; 3445
SPEEDELEC  Kugoo; 30.0; 9300.0; false; 7900; dark gray; 559
SPEEDELEC  Speedway; 65.0; 15900.0; false; 2100; flame; 1135
SPEEDELEC  Segway; 40.0; 6700.0; false; 9900; pink; 969
FOLDING BIKE  Crosser; 18.0; 8; 8700.0; true; olive; 1575
SPEEDELEC  Kugoo; 15.0; 21800.0; true; 4100; grey; 805
FOLDING BIKE  Kross; 20.0; 1; 12700.0; false; grey; 865
FOLDING BIKE  Crosser; 20.0; 7; 9700.0; false; black; 609
E-BIKE  Scott; 45.0; 28900.0; true; 30000; yellow; 1185
FOLDING BIKE  West Bike; 26.0; 24; 13300.0; true; brown; 185
E-BIKE  Ecofect; 60.0; 21100.0; false; 21000; flame; 2149
E-BIKE  Gazelle; 35.0; 26100.0; false; 14000; marine; 2515
E-BIKE  Mando Footloose; 65.0; 27700.0; true; 20000; beige; 1849
FOLDING BIKE  Crosser; 20.0; 9; 12100.0; false; grey; 1529
E-BIKE  Zaxboard; 30.0; 23700.0; true; 26000; lemon; 2889
SPEEDELEC  E-Scooter; 55.0; 16500.0; true; 7200; marine; 659
FOLDING BIKE  Kross; 24.0; 24; 8500.0; true; olive; 579
E-BIKE  Farad; 65.0; 28400.0; true; 14000; olive; 1149
FOLDING BIKE  BMW; 18.0; 9; 10300.0; false; rose; 1065
E-BIKE  Lankeleisi; 50.0; 27800.0; true; 26000; orange; 705
E-BIKE  ION; 35.0; 21700.0; true; 10000; golden; 2635
E-BIKE  ION; 50.0; 22100.0; false; 29000; brown; 945
SPEEDELEC  Kugoo; 50.0; 16200.0; true; 10500; silver; 599
SPEEDELEC  Maraton; 55.0; 8500.0; true; 2300; pink; 1389
SPEEDELEC  Speedway; 60.0; 9900.0; true; 6100; marine; 445
E-BIKE  Mercedes; 60.0; 20400.0; false; 24000; grey; 3105
E-BIKE  Mercedes; 65.0; 27800.0; false; 12000; violet; 3015
SPEEDELEC  E-Scooter; 10.0; 16800.0; true; 3700; brown; 849
FOLDING BIKE  Author; 20.0; 27; 9200.0; false; red; 1135
SPEEDELEC  Xiaomi; 15.0; 6700.0; false; 11300; emerald; 1225
FOLDING BIKE  Make Bike; 20.0; 18; 10500.0; true; lemon; 869
FOLDING BIKE  Titan; 20.0; 18; 15600.0; true; green; 665
SPEEDELEC  Tesla; 55.0; 20800.0; false; 14500; grenadine; 885
SPEEDELEC  Segway; 55.0; 16300.0; false; 6000; brown; 1389
FOLDING BIKE  Intertool; 20.0; 24; 10900.0; false; pink; 729
SPEEDELEC  Peugeot; 50.0; 10200.0; true; 10600; orange; 1195
SPEEDELEC  E-Scooter; 65.0; 6600.0; false; 9700; golden; 1435
FOLDING BIKE  Comanche; 20.0; 21; 13300.0; true; dark gray; 405
E-BIKE  Porshe Design; 30.0; 28300.0; false; 31000; flame; 689
E-BIKE  Xiaomi; 40.0; 22900.0; true; 9000; dark gray; 1465
E-BIKE  Haibike; 30.0; 22600.0; false; 21000; grenadine; 1405
SPEEDELEC  Speedelec Minirider; 60.0; 14500.0; true; 12400; marine; 1475
FOLDING BIKE  Intertool; 20.0; 6; 15300.0; true; rose; 655
SPEEDELEC  Freego; 10.0; 12900.0; true; 9400; flame; 759
SPEEDELEC  AirWheel; 65.0; 6900.0; false; 6300; green; 1615
FOLDING BIKE  West Bike; 24.0; 27; 12300.0; true; black; 1065
E-BIKE  Felt; 35.0; 24900.0; false; 22000; grenadine; 1465
SPEEDELEC  Smart; 55.0; 15500.0; false; 5900; grey; 315
FOLDING BIKE  Comanche; 20.0; 6; 16600.0; true; red; 1535
FOLDING BIKE  Titan; 16.0; 18; 14600.0; true; black; 1085
E-BIKE  Zaxboard; 65.0; 28700.0; true; 11000; silver; 2975
SPEEDELEC  Speedelec Minirider; 35.0; 7200.0; false; 7200; white; 1665
E-BIKE  Koga; 50.0; 19500.0; true; 12000; flame; 1725
FOLDING BIKE  Cayman; 24.0; 1; 8900.0; false; rose; 1615
FOLDING BIKE  Crosser; 20.0; 7; 8300.0; false; olive; 945
SPEEDELEC  AirWheel; 65.0; 15700.0; false; 10500; blue; 585
FOLDING BIKE  West Bike; 20.0; 6; 16300.0; false; beige; 1025
FOLDING BIKE  VNV; 20.0; 8; 14000.0; true; golden; 939
FOLDING BIKE  Comanche; 18.0; 24; 13700.0; false; marine; 755
SPEEDELEC  Kugoo; 40.0; 13600.0; false; 12000; yellow; 1315
E-BIKE  ION; 35.0; 22400.0; false; 17000; khaki; 1005
E-BIKE  Rover; 50.0; 25200.0; false; 24000; coral; 2255
FOLDING BIKE  Titan; 14.0; 27; 11900.0; false; coral; 1559
SPEEDELEC  Peugeot; 30.0; 14000.0; true; 12300; golden; 1175
E-BIKE  Farad; 35.0; 19700.0; false; 11000; brown; 3435
E-BIKE  E-Motion; 65.0; 25900.0; true; 13000; green; 2919
E-BIKE  Koga; 60.0; 21200.0; false; 15000; brown; 1135
SPEEDELEC  Freego; 50.0; 10600.0; false; 2300; brown; 125
E-BIKE  ElectrO; 55.0; 22700.0; false; 26000; flame; 805
FOLDING BIKE  BMW; 20.0; 18; 11500.0; true; green; 469
E-BIKE  E-Motion; 40.0; 26500.0; false; 14000; golden; 1715
FOLDING BIKE  Comanche; 20.0; 7; 14900.0; false; white; 1369
E-BIKE  Haibike; 30.0; 24200.0; true; 19000; pink; 849
FOLDING BIKE  West Bike; 20.0; 18; 11100.0; true; rose; 1305
E-BIKE  Rover; 40.0; 25600.0; true; 20000; red; 1489
FOLDING BIKE  VNV; 24.0; 8; 9700.0; false; coral; 1459
SPEEDELEC  ITrike; 40.0; 19900.0; false; 11600; violet; 1285
FOLDING BIKE  Formula; 18.0; 21; 10900.0; false; green; 1419
E-BIKE  Scott; 50.0; 21600.0; true; 25000; yellow; 739
E-BIKE  Mando Footloose; 50.0; 19200.0; true; 28000; yellow; 1385
SPEEDELEC  Xiaomi; 35.0; 18100.0; false; 10300; violet; 1499
E-BIKE  ElectrO; 55.0; 22400.0; false; 16000; red; 2109
SPEEDELEC  Segway; 55.0; 11900.0; false; 2000; marine; 339
E-BIKE  Xiaomi; 25.0; 22600.0; false; 14000; flame; 1735
FOLDING BIKE  Flex; 24.0; 1; 11000.0; false; dark gray; 389
E-BIKE  Porshe Design; 30.0; 28700.0; true; 31000; golden; 1619
FOLDING BIKE  Author; 18.0; 24; 10300.0; false; green; 1015
E-BIKE  Mando Footloose; 20.0; 23300.0; true; 17000; violet; 1339
E-BIKE  ION; 45.0; 24600.0; true; 30000; pink; 1595
E-BIKE  Rover; 65.0; 24700.0; true; 27000; green; 2779
SPEEDELEC  Maraton; 25.0; 9000.0; true; 9000; dark gray; 1565
E-BIKE  Ferrari; 35.0; 25600.0; true; 10000; grenadine; 1555
E-BIKE  GoCycle; 65.0; 26900.0; false; 12000; beige; 1945
FOLDING BIKE  Dahon; 20.0; 1; 8200.0; true; green; 1435
E-BIKE  GoCycle; 40.0; 24000.0; true; 15000; grenadine; 1005
SPEEDELEC  Segway; 40.0; 11200.0; true; 11400; brown; 209
E-BIKE  SkyBike; 35.0; 26800.0; true; 25000; grey; 899
E-BIKE  Ecofect; 35.0; 23500.0; false; 13000; golden; 3389
SPEEDELEC  Xiaomi; 40.0; 9300.0; false; 14700; coral; 609
SPEEDELEC  OIO; 65.0; 12600.0; false; 8800; coral; 199
SPEEDELEC  Kugoo; 10.0; 8100.0; false; 9900; grey; 1299
SPEEDELEC  Freego; 25.0; 18300.0; true; 7100; flame; 1059
E-BIKE  Lankeleisi; 60.0; 24400.0; false; 13000; white; 3095
SPEEDELEC  OIO; 55.0; 9000.0; true; 9500; black; 199
E-BIKE  Scott; 55.0; 23200.0; false; 11000; violet; 1625
E-BIKE  Mando Footloose; 65.0; 19900.0; false; 8000; coral; 1949
SPEEDELEC  Kugoo; 25.0; 15100.0; false; 11300; black; 1429
FOLDING BIKE  Benetti; 14.0; 27; 10200.0; false; khaki; 1129
E-BIKE  Mando Footloose; 65.0; 22500.0; true; 30000; lemon; 1365
SPEEDELEC  Xiaomi; 20.0; 17400.0; true; 4200; emerald; 785
E-BIKE  Ecofect; 20.0; 27300.0; false; 16000; golden; 1595
E-BIKE  Lankeleisi; 25.0; 26600.0; true; 9000; yellow; 3289
E-BIKE  Rover; 65.0; 25100.0; false; 29000; grey; 2939
SPEEDELEC  Tesla; 20.0; 19700.0; true; 2200; violet; 799
E-BIKE  SkyBike; 55.0; 28600.0; true; 30000; black; 2159
SPEEDELEC  EcoRide; 30.0; 13400.0; false; 11500; lemon; 1615
SPEEDELEC  Speedelec Minirider; 15.0; 18800.0; false; 13100; white; 729
E-BIKE  ElectrO; 50.0; 28100.0; false; 11000; silver; 3139
SPEEDELEC  EcoRide; 65.0; 21700.0; false; 12900; flame; 795
E-BIKE  Farad; 30.0; 22500.0; true; 10000; rose; 1745
FOLDING BIKE  Benetti; 18.0; 7; 10900.0; true; beige; 1165
FOLDING BIKE  Titan; 24.0; 7; 16500.0; true; golden; 1295
SPEEDELEC  Booster; 65.0; 20300.0; false; 15500; red; 175
E-BIKE  Porshe Design; 60.0; 27000.0; false; 13000; marine; 659
SPEEDELEC  AirWheel; 15.0; 11200.0; false; 11200; pink; 419
SPEEDELEC  Ultron; 45.0; 21000.0; false; 3700; beige; 239
E-BIKE  Zaxboard; 60.0; 28900.0; false; 14000; black; 3115
E-BIKE  Lankeleisi; 65.0; 25100.0; false; 25000; khaki; 2859
E-BIKE  E-Motion; 45.0; 19600.0; false; 24000; silver; 1489
FOLDING BIKE  Flex; 20.0; 7; 8500.0; false; flame; 455
FOLDING BIKE  Stern; 20.0; 1; 9500.0; false; coral; 1055
FOLDING BIKE  Trinx; 20.0; 27; 14600.0; false; pink; 465
E-BIKE  Ferrari; 35.0; 20600.0; true; 10000; emerald; 805
FOLDING BIKE  Stern; 24.0; 24; 14400.0; true; marine; 705
FOLDING BIKE  BMW; 16.0; 9; 12600.0; false; emerald; 1649
SPEEDELEC  Booster; 45.0; 7500.0; false; 6500; coral; 1175
FOLDING BIKE  West Bike; 14.0; 9; 16200.0; false; dark gray; 209
FOLDING BIKE  Dahon; 20.0; 8; 16900.0; true; dark gray; 1595
E-BIKE  Scott; 20.0; 19800.0; false; 9000; lemon; 1455
SPEEDELEC  Kugoo; 55.0; 14000.0; true; 12400; marine; 1489
FOLDING BIKE  Titan; 20.0; 8; 8800.0; true; yellow; 1665
E-BIKE  Scott; 35.0; 24500.0; false; 14000; flame; 1775
E-BIKE  ION; 45.0; 21300.0; false; 14000; brown; 3149
FOLDING BIKE  Trinx; 26.0; 7; 11600.0; true; grey; 1099
SPEEDELEC  Segway; 20.0; 13300.0; false; 5900; silver; 335
SPEEDELEC  AirWheel; 40.0; 7700.0; true; 11600; orange; 1319
FOLDING BIKE  Cayman; 24.0; 21; 12700.0; false; emerald; 279
SPEEDELEC  Peugeot; 20.0; 19300.0; true; 14200; red; 1075
SPEEDELEC  AirWheel; 35.0; 9800.0; false; 10900; rose; 155
E-BIKE  Xiaomi; 45.0; 26100.0; true; 13000; green; 1269
SPEEDELEC  Ultron; 60.0; 9200.0; true; 14800; grey; 1549
SPEEDELEC  E-Scooter; 35.0; 8800.0; false; 14200; beige; 245
E-BIKE  Mercedes; 55.0; 26200.0; true; 12000; orange; 1765
FOLDING BIKE  Brompton; 26.0; 6; 15400.0; false; grenadine; 519
SPEEDELEC  Kugoo; 55.0; 11400.0; false; 12300; lemon; 1325
FOLDING BIKE  Make Bike; 26.0; 1; 13900.0; false; orange; 705
FOLDING BIKE  Formula; 20.0; 21; 11100.0; false; rose; 1675
E-BIKE  Gazelle; 30.0; 20400.0; true; 29000; grenadine; 2195
FOLDING BIKE  Formula; 24.0; 27; 8500.0; true; flame; 1485
FOLDING BIKE  Benetti; 14.0; 7; 9500.0; false; grey; 189
SPEEDELEC  EcoRide; 25.0; 9200.0; true; 3200; dark gray; 289
SPEEDELEC  Maraton; 40.0; 14500.0; false; 12200; lemon; 885
FOLDING BIKE  Comanche; 14.0; 27; 13400.0; true; white; 1255
FOLDING BIKE  SkyBike; 20.0; 24; 15800.0; false; red; 755
E-BIKE  SkyBike; 45.0; 23500.0; true; 30000; rose; 2245
E-BIKE  Scott; 45.0; 25600.0; false; 28000; olive; 1215
FOLDING BIKE  VNV; 24.0; 24; 11000.0; true; coral; 1505
FOLDING BIKE  Author; 20.0; 3; 12800.0; false; silver; 1505
E-BIKE  Haibike; 60.0; 21400.0; false; 14000; golden; 2885
SPEEDELEC  Aest; 45.0; 14300.0; false; 5800; blue; 1049
FOLDING BIKE  Author; 20.0; 24; 14500.0; true; rose; 509
E-BIKE  Lankeleisi; 50.0; 20500.0; false; 19000; white; 859
E-BIKE  GoCycle; 60.0; 25400.0; false; 29000; green; 1495
E-BIKE  Ecofect; 35.0; 28200.0; false; 9000; brown; 2145
SPEEDELEC  Speedelec Minirider; 30.0; 16900.0; true; 11000; beige; 985
FOLDING BIKE  Trinx; 24.0; 1; 11300.0; false; blue; 975
FOLDING BIKE  Flex; 24.0; 6; 16100.0; false; khaki; 569
E-BIKE  Ferrari; 55.0; 23500.0; true; 25000; violet; 1649
E-BIKE  ElectrO; 35.0; 19100.0; false; 31000; golden; 2179
SPEEDELEC  Speedway; 10.0; 19200.0; true; 6400; black; 399
E-BIKE  Koga; 60.0; 24100.0; true; 23000; orange; 1485
FOLDING BIKE  VNV; 24.0; 1; 10100.0; true; red; 575
E-BIKE  SkyBike; 45.0; 21700.0; true; 10000; black; 2119
SPEEDELEC  Kugoo; 15.0; 21100.0; false; 9700; flame; 1429
FOLDING BIKE  Formula; 14.0; 1; 13900.0; false; khaki; 425
E-BIKE  SkyBike; 25.0; 19100.0; true; 11000; golden; 1125
E-BIKE  SkyBike; 30.0; 28600.0; false; 20000; green; 2809
FOLDING BIKE  Flex; 20.0; 27; 16300.0; true; white; 1409
SPEEDELEC  Ultron; 35.0; 21700.0; false; 14600; orange; 1645
E-BIKE  Haibike; 65.0; 24900.0; false; 13000; white; 1415
E-BIKE  ION; 40.0; 24700.0; true; 27000; dark gray; 1989
FOLDING BIKE  Stern; 26.0; 21; 11100.0; false; orange; 465
FOLDING BIKE  Titan; 20.0; 3; 8200.0; false; red; 355
SPEEDELEC  Booster; 45.0; 13600.0; true; 14100; khaki; 865
FOLDING BIKE  Stern; 26.0; 3; 14900.0; true; beige; 819
E-BIKE  Zaxboard; 55.0; 28800.0; true; 30000; black; 2395
E-BIKE  Lankeleisi; 45.0; 28800.0; false; 13000; pink; 1209
FOLDING BIKE  Trinx; 20.0; 27; 8000.0; true; grey; 885
E-BIKE  Rover; 60.0; 19900.0; true; 14000; grenadine; 3089
SPEEDELEC  Tesla; 25.0; 18200.0; false; 10500; khaki; 559
E-BIKE  Ecofect; 60.0; 23100.0; false; 10000; golden; 1729
SPEEDELEC  Segway; 50.0; 8800.0; true; 13600; coral; 865
SPEEDELEC  Freego; 30.0; 10100.0; true; 2600; khaki; 1679
E-BIKE  ElectrO; 35.0; 27000.0; false; 21000; black; 2735
SPEEDELEC  Booster; 50.0; 10200.0; false; 2500; green; 1525
FOLDING BIKE  Polygon; 24.0; 3; 16200.0; true; blue; 655
E-BIKE  Ecofect; 25.0; 23800.0; true; 16000; beige; 2869
FOLDING BIKE  SkyBike; 24.0; 6; 16800.0; true; khaki; 445
SPEEDELEC  Speedelec Minirider; 65.0; 14100.0; true; 5000; white; 1499
E-BIKE  Farad; 45.0; 20100.0; true; 14000; lemon; 2379
SPEEDELEC  Booster; 50.0; 9300.0; true; 5600; khaki; 455
SPEEDELEC  Kugoo; 45.0; 9200.0; false; 8400; dark gray; 1355
SPEEDELEC  Kugoo; 30.0; 13000.0; false; 4400; black; 489
FOLDING BIKE  Cayman; 20.0; 1; 16800.0; true; black; 669
SPEEDELEC  Speedway; 35.0; 9400.0; false; 2400; green; 1419
SPEEDELEC  Freego; 30.0; 16400.0; false; 6000; blue; 1665
SPEEDELEC  Tesla; 45.0; 20700.0; false; 14600; olive; 205
E-BIKE  Ecofect; 35.0; 27000.0; false; 18000; olive; 1989
SPEEDELEC  ITrike; 50.0; 12000.0; true; 11600; marine; 245
E-BIKE  ION; 25.0; 27700.0; false; 17000; green; 3235
E-BIKE  Koga; 35.0; 24900.0; false; 29000; white; 729
SPEEDELEC  Tesla; 15.0; 12200.0; true; 2300; khaki; 615
FOLDING BIKE  BMW; 20.0; 1; 10500.0; false; blue; 635
FOLDING BIKE  West Bike; 20.0; 7; 14700.0; true; golden; 299
FOLDING BIKE  West Bike; 18.0; 6; 15600.0; false; blue; 1219
E-BIKE  Lankeleisi; 60.0; 28200.0; false; 15000; coral; 2429
SPEEDELEC  Peugeot; 50.0; 20800.0; true; 15700; silver; 1279
FOLDING BIKE  Polygon; 24.0; 6; 16400.0; false; coral; 725
FOLDING BIKE  SkyBike; 20.0; 3; 11900.0; false; yellow; 1115
SPEEDELEC  Tesla; 15.0; 9500.0; false; 13200; lemon; 285
SPEEDELEC  Freego; 35.0; 21300.0; false; 4500; yellow; 779
E-BIKE  Haibike; 30.0; 22700.0; true; 24000; black; 1085
SPEEDELEC  Kugoo; 50.0; 20300.0; true; 4400; flame; 299
FOLDING BIKE  Titan; 14.0; 18; 13300.0; true; emerald; 285
SPEEDELEC  OIO; 45.0; 9700.0; true; 10500; olive; 785
SPEEDELEC  OIO; 15.0; 7100.0; true; 9400; rose; 1065
SPEEDELEC  OIO; 55.0; 19900.0; true; 10900; brown; 435
SPEEDELEC  Kugoo; 65.0; 17700.0; true; 15100; khaki; 539
FOLDING BIKE  Author; 18.0; 8; 11600.0; false; red; 279
FOLDING BIKE  West Bike; 14.0; 7; 14700.0; true; black; 1289
SPEEDELEC  Dualtron; 50.0; 17300.0; true; 15500; flame; 1549
SPEEDELEC  Booster; 10.0; 20000.0; false; 11800; dark gray; 1095
FOLDING BIKE  Stern; 20.0; 27; 16500.0; false; white; 439
SPEEDELEC  Dualtron; 60.0; 20500.0; false; 15600; golden; 869
SPEEDELEC  Ultron; 60.0; 7000.0; false; 11400; lemon; 1055
E-BIKE  Ferrari; 60.0; 28900.0; false; 21000; brown; 825
FOLDING BIKE Track; 12.0; 12; 120.0; true; green; 1200
